index,x_mm,y_mm,z_mm,radius_mm,theta_deg
0,20.94000000,0.00000000,1.50000000,20.94000000,0.00000000
1,20.76085540,2.73321847,2.10979167,20.94000000,7.50000000
2,20.22648680,5.41967080,2.71958333,20.94000000,15.00000000
3,19.34603741,8.01339107,3.32937500,20.94000000,22.50000000
4,18.13457196,10.47000000,3.93916667,20.94000000,30.00000000
5,16.61281895,12.74746432,4.54895833,20.94000000,37.50000000
6,14.80681600,14.80681600,5.15875000,20.94000000,45.00000000
7,12.74746432,16.61281895,5.76854167,20.94000000,52.50000000
8,10.47000000,18.13457196,6.37833333,20.94000000,60.00000000
9,8.01339107,19.34603741,6.98812500,20.94000000,67.50000000
10,5.41967080,20.22648680,7.59791667,20.94000000,75.00000000
11,2.73321847,20.76085540,8.20770833,20.94000000,82.50000000
12,0.00000000,20.94000000,8.81750000,20.94000000,90.00000000
13,-2.73321847,20.76085540,9.42729167,20.94000000,97.50000000
14,-5.41967080,20.22648680,10.03708333,20.94000000,105.00000000
15,-8.01339107,19.34603741,10.64687500,20.94000000,112.50000000
16,-10.47000000,18.13457196,11.25666667,20.94000000,120.00000000
17,-12.74746432,16.61281895,11.86645833,20.94000000,127.50000000
18,-14.80681600,14.80681600,12.47625000,20.94000000,135.00000000
19,-16.61281895,12.74746432,13.08604167,20.94000000,142.50000000
20,-18.13457196,10.47000000,13.69583333,20.94000000,150.00000000
21,-19.34603741,8.01339107,14.30562500,20.94000000,157.50000000
22,-20.22648680,5.41967080,14.91541667,20.94000000,165.00000000
23,-20.76085540,2.73321847,15.52520833,20.94000000,172.50000000
24,-20.94000000,0.00000000,16.13500000,20.94000000,180.00000000
25,-20.76085540,-2.73321847,16.74479167,20.94000000,-172.50000000
26,-20.22648680,-5.41967080,17.35458333,20.94000000,-165.00000000
27,-19.34603741,-8.01339107,17.96437500,20.94000000,-157.50000000
28,-18.13457196,-10.47000000,18.57416667,20.94000000,-150.00000000
29,-16.61281895,-12.74746432,19.18395833,20.94000000,-142.50000000
30,-14.80681600,-14.80681600,19.79375000,20.94000000,-135.00000000
31,-12.74746432,-16.61281895,20.40354167,20.94000000,-127.50000000
32,-10.47000000,-18.13457196,21.01333333,20.94000000,-120.00000000
33,-8.01339107,-19.34603741,21.62312500,20.94000000,-112.50000000
34,-5.41967080,-20.22648680,22.23291667,20.94000000,-105.00000000
35,-2.73321847,-20.76085540,22.84270833,20.94000000,-97.50000000
36,-0.00000000,-20.94000000,23.45250000,20.94000000,-90.00000000
37,2.73321847,-20.76085540,24.06229167,20.94000000,-82.50000000
38,5.41967080,-20.22648680,24.67208333,20.94000000,-75.00000000
39,8.01339107,-19.34603741,25.28187500,20.94000000,-67.50000000
40,10.47000000,-18.13457196,25.89166667,20.94000000,-60.00000000
41,12.74746432,-16.61281895,26.50145833,20.94000000,-52.50000000
42,14.80681600,-14.80681600,27.11125000,20.94000000,-45.00000000
43,16.61281895,-12.74746432,27.72104167,20.94000000,-37.50000000
44,18.13457196,-10.47000000,28.33083333,20.94000000,-30.00000000
45,19.34603741,-8.01339107,28.94062500,20.94000000,-22.50000000
46,20.22648680,-5.41967080,29.55041667,20.94000000,-15.00000000
47,20.76085540,-2.73321847,30.16020833,20.94000000,-7.50000000
48,20.94000000,-0.00000000,30.77000000,20.94000000,-0.00000000
49,20.76085540,2.73321847,31.37979167,20.94000000,7.50000000
50,20.22648680,5.41967080,31.98958333,20.94000000,15.00000000
51,19.34603741,8.01339107,32.59937500,20.94000000,22.50000000
52,18.13457196,10.47000000,33.20916667,20.94000000,30.00000000
53,16.61281895,12.74746432,33.81895833,20.94000000,37.50000000
54,14.80681600,14.80681600,34.42875000,20.94000000,45.00000000
55,12.74746432,16.61281895,35.03854167,20.94000000,52.50000000
56,10.47000000,18.13457196,35.64833333,20.94000000,60.00000000
57,8.01339107,19.34603741,36.25812500,20.94000000,67.50000000
58,5.41967080,20.22648680,36.86791667,20.94000000,75.00000000
59,2.73321847,20.76085540,37.47770833,20.94000000,82.50000000
60,0.00000000,20.94000000,38.08750000,20.94000000,90.00000000
61,-2.73321847,20.76085540,38.69729167,20.94000000,97.50000000
62,-5.41967080,20.22648680,39.30708333,20.94000000,105.00000000
63,-8.01339107,19.34603741,39.91687500,20.94000000,112.50000000
64,-10.47000000,18.13457196,40.52666667,20.94000000,120.00000000
65,-12.74746432,16.61281895,41.13645833,20.94000000,127.50000000
66,-14.80681600,14.80681600,41.74625000,20.94000000,135.00000000
67,-16.61281895,12.74746432,42.35604167,20.94000000,142.50000000
68,-18.13457196,10.47000000,42.96583333,20.94000000,150.00000000
69,-19.34603741,8.01339107,43.57562500,20.94000000,157.50000000
70,-20.22648680,5.41967080,44.18541667,20.94000000,165.00000000
71,-20.76085540,2.73321847,44.79520833,20.94000000,172.50000000
72,-20.94000000,0.00000000,45.40500000,20.94000000,180.00000000
73,-20.76085540,-2.73321847,46.01479167,20.94000000,-172.50000000
74,-20.22648680,-5.41967080,46.62458333,20.94000000,-165.00000000
75,-19.34603741,-8.01339107,47.23437500,20.94000000,-157.50000000
76,-18.13457196,-10.47000000,47.84416667,20.94000000,-150.00000000
77,-16.61281895,-12.74746432,48.45395833,20.94000000,-142.50000000
78,-14.80681600,-14.80681600,49.06375000,20.94000000,-135.00000000
79,-12.74746432,-16.61281895,49.67354167,20.94000000,-127.50000000
80,-10.47000000,-18.13457196,50.28333333,20.94000000,-120.00000000
81,-8.01339107,-19.34603741,50.89312500,20.94000000,-112.50000000
82,-5.41967080,-20.22648680,51.50291667,20.94000000,-105.00000000
83,-2.73321847,-20.76085540,52.11270833,20.94000000,-97.50000000
84,-0.00000000,-20.94000000,52.72250000,20.94000000,-90.00000000
85,2.73321847,-20.76085540,53.33229167,20.94000000,-82.50000000
86,5.41967080,-20.22648680,53.94208333,20.94000000,-75.00000000
87,8.01339107,-19.34603741,54.55187500,20.94000000,-67.50000000
88,10.47000000,-18.13457196,55.16166667,20.94000000,-60.00000000
89,12.74746432,-16.61281895,55.77145833,20.94000000,-52.50000000
90,14.80681600,-14.80681600,56.38125000,20.94000000,-45.00000000
91,16.61281895,-12.74746432,56.99104167,20.94000000,-37.50000000
92,18.13457196,-10.47000000,57.60083333,20.94000000,-30.00000000
93,19.34603741,-8.01339107,58.21062500,20.94000000,-22.50000000
94,20.22648680,-5.41967080,58.82041667,20.94000000,-15.00000000
95,20.76085540,-2.73321847,59.43020833,20.94000000,-7.50000000
96,20.94000000,-0.00000000,60.04000000,20.94000000,-0.00000000
97,20.76085540,2.73321847,60.64979167,20.94000000,7.50000000
98,20.22648680,5.41967080,61.25958333,20.94000000,15.00000000
99,19.34603741,8.01339107,61.86937500,20.94000000,22.50000000
100,18.13457196,10.47000000,62.47916667,20.94000000,30.00000000
101,16.61281895,12.74746432,63.08895833,20.94000000,37.50000000
102,14.80681600,14.80681600,63.69875000,20.94000000,45.00000000
103,12.74746432,16.61281895,64.30854167,20.94000000,52.50000000
104,10.47000000,18.13457196,64.91833333,20.94000000,60.00000000
105,8.01339107,19.34603741,65.52812500,20.94000000,67.50000000
106,5.41967080,20.22648680,66.13791667,20.94000000,75.00000000
107,2.73321847,20.76085540,66.74770833,20.94000000,82.50000000
108,0.00000000,20.94000000,67.35750000,20.94000000,90.00000000
109,-2.73321847,20.76085540,67.96729167,20.94000000,97.50000000
110,-5.41967080,20.22648680,68.57708333,20.94000000,105.00000000
111,-8.01339107,19.34603741,69.18687500,20.94000000,112.50000000
112,-10.47000000,18.13457196,69.79666667,20.94000000,120.00000000
113,-12.74746432,16.61281895,70.40645833,20.94000000,127.50000000
114,-14.80681600,14.80681600,71.01625000,20.94000000,135.00000000
115,-16.61281895,12.74746432,71.62604167,20.94000000,142.50000000
116,-18.13457196,10.47000000,72.23583333,20.94000000,150.00000000
117,-19.34603741,8.01339107,72.84562500,20.94000000,157.50000000
118,-20.22648680,5.41967080,73.45541667,20.94000000,165.00000000
119,-20.76085540,2.73321847,74.06520833,20.94000000,172.50000000
120,-20.94000000,0.00000000,74.67500000,20.94000000,180.00000000
121,-20.76085540,-2.73321847,75.28479167,20.94000000,-172.50000000
122,-20.22648680,-5.41967080,75.89458333,20.94000000,-165.00000000
123,-19.34603741,-8.01339107,76.50437500,20.94000000,-157.50000000
124,-18.13457196,-10.47000000,77.11416667,20.94000000,-150.00000000
125,-16.61281895,-12.74746432,77.72395833,20.94000000,-142.50000000
126,-14.80681600,-14.80681600,78.33375000,20.94000000,-135.00000000
127,-12.74746432,-16.61281895,78.94354167,20.94000000,-127.50000000
128,-10.47000000,-18.13457196,79.55333333,20.94000000,-120.00000000
129,-8.01339107,-19.34603741,80.16312500,20.94000000,-112.50000000
130,-5.41967080,-20.22648680,80.77291667,20.94000000,-105.00000000
131,-2.73321847,-20.76085540,81.38270833,20.94000000,-97.50000000
132,-0.00000000,-20.94000000,81.99250000,20.94000000,-90.00000000
133,2.73321847,-20.76085540,82.60229167,20.94000000,-82.50000000
134,5.41967080,-20.22648680,83.21208333,20.94000000,-75.00000000
135,8.01339107,-19.34603741,83.82187500,20.94000000,-67.50000000
136,10.47000000,-18.13457196,84.43166667,20.94000000,-60.00000000
137,12.74746432,-16.61281895,85.04145833,20.94000000,-52.50000000
138,14.80681600,-14.80681600,85.65125000,20.94000000,-45.00000000
139,16.61281895,-12.74746432,86.26104167,20.94000000,-37.50000000
140,18.13457196,-10.47000000,86.87083333,20.94000000,-30.00000000
141,19.34603741,-8.01339107,87.48062500,20.94000000,-22.50000000
142,20.22648680,-5.41967080,88.09041667,20.94000000,-15.00000000
143,20.76085540,-2.73321847,88.70020833,20.94000000,-7.50000000
144,20.94000000,-0.00000000,89.31000000,20.94000000,-0.00000000
