frequency_GHz,axial_ratio_dB,status,provenance
2.7,1.6435234017521996,DEMO,DEMONSTRATION_EXAMPLE
2.71,1.625610474861368,DEMO,DEMONSTRATION_EXAMPLE
2.72,1.6082403639369254,DEMO,DEMONSTRATION_EXAMPLE
2.73,1.5914130689788712,DEMO,DEMONSTRATION_EXAMPLE
2.74,1.5751285899872065,DEMO,DEMONSTRATION_EXAMPLE
2.75,1.55938692696193,DEMO,DEMONSTRATION_EXAMPLE
2.76,1.544188079903043,DEMO,DEMONSTRATION_EXAMPLE
2.77,1.5295320488105442,DEMO,DEMONSTRATION_EXAMPLE
2.78,1.5154188336844345,DEMO,DEMONSTRATION_EXAMPLE
2.79,1.5018484345247134,DEMO,DEMONSTRATION_EXAMPLE
2.8,1.4888208513313816,DEMO,DEMONSTRATION_EXAMPLE
2.81,1.4763360841044382,DEMO,DEMONSTRATION_EXAMPLE
2.82,1.464394132843884,DEMO,DEMONSTRATION_EXAMPLE
2.83,1.4529949975497183,DEMO,DEMONSTRATION_EXAMPLE
2.84,1.4421386782219419,DEMO,DEMONSTRATION_EXAMPLE
2.85,1.4318251748605537,DEMO,DEMONSTRATION_EXAMPLE
2.86,1.422054487465555,DEMO,DEMONSTRATION_EXAMPLE
2.87,1.4128266160369445,DEMO,DEMONSTRATION_EXAMPLE
2.88,1.4041415605747234,DEMO,DEMONSTRATION_EXAMPLE
2.89,1.3959993210788908,DEMO,DEMONSTRATION_EXAMPLE
2.9,1.3883998975494471,DEMO,DEMONSTRATION_EXAMPLE
2.91,1.3813432899863922,DEMO,DEMONSTRATION_EXAMPLE
2.92,1.3748294983897262,DEMO,DEMONSTRATION_EXAMPLE
2.93,1.368858522759449,DEMO,DEMONSTRATION_EXAMPLE
2.94,1.3634303630955606,DEMO,DEMONSTRATION_EXAMPLE
2.95,1.358545019398061,DEMO,DEMONSTRATION_EXAMPLE
2.96,1.3542024916669504,DEMO,DEMONSTRATION_EXAMPLE
2.97,1.3504027799022287,DEMO,DEMONSTRATION_EXAMPLE
2.98,1.3471458841038957,DEMO,DEMONSTRATION_EXAMPLE
2.99,1.3444318042719514,DEMO,DEMONSTRATION_EXAMPLE
3.0,1.342260540406396,DEMO,DEMONSTRATION_EXAMPLE
3.01,1.3406320925072295,DEMO,DEMONSTRATION_EXAMPLE
3.02,1.3395464605744518,DEMO,DEMONSTRATION_EXAMPLE
3.03,1.339003644608063,DEMO,DEMONSTRATION_EXAMPLE
3.04,1.339003644608063,DEMO,DEMONSTRATION_EXAMPLE
3.05,1.3395464605744518,DEMO,DEMONSTRATION_EXAMPLE
3.06,1.3406320925072297,DEMO,DEMONSTRATION_EXAMPLE
3.07,1.342260540406396,DEMO,DEMONSTRATION_EXAMPLE
3.08,1.3444318042719514,DEMO,DEMONSTRATION_EXAMPLE
3.09,1.3471458841038955,DEMO,DEMONSTRATION_EXAMPLE
3.1,1.3504027799022287,DEMO,DEMONSTRATION_EXAMPLE
3.11,1.3542024916669504,DEMO,DEMONSTRATION_EXAMPLE
3.12,1.358545019398061,DEMO,DEMONSTRATION_EXAMPLE
3.13,1.3634303630955604,DEMO,DEMONSTRATION_EXAMPLE
3.14,1.3688585227594492,DEMO,DEMONSTRATION_EXAMPLE
3.15,1.3748294983897262,DEMO,DEMONSTRATION_EXAMPLE
3.16,1.3813432899863922,DEMO,DEMONSTRATION_EXAMPLE
3.17,1.388399897549447,DEMO,DEMONSTRATION_EXAMPLE
3.18,1.395999321078891,DEMO,DEMONSTRATION_EXAMPLE
3.19,1.4041415605747234,DEMO,DEMONSTRATION_EXAMPLE
3.2,1.4128266160369445,DEMO,DEMONSTRATION_EXAMPLE
3.21,1.4220544874655545,DEMO,DEMONSTRATION_EXAMPLE
3.22,1.4318251748605542,DEMO,DEMONSTRATION_EXAMPLE
3.23,1.4421386782219419,DEMO,DEMONSTRATION_EXAMPLE
3.24,1.4529949975497183,DEMO,DEMONSTRATION_EXAMPLE
3.25,1.4643941328438836,DEMO,DEMONSTRATION_EXAMPLE
3.26,1.4763360841044386,DEMO,DEMONSTRATION_EXAMPLE
3.27,1.4888208513313816,DEMO,DEMONSTRATION_EXAMPLE
3.28,1.5018484345247134,DEMO,DEMONSTRATION_EXAMPLE
3.29,1.515418833684434,DEMO,DEMONSTRATION_EXAMPLE
3.3,1.5295320488105446,DEMO,DEMONSTRATION_EXAMPLE
3.31,1.544188079903043,DEMO,DEMONSTRATION_EXAMPLE
3.32,1.55938692696193,DEMO,DEMONSTRATION_EXAMPLE
3.33,1.575128589987206,DEMO,DEMONSTRATION_EXAMPLE
3.34,1.5914130689788717,DEMO,DEMONSTRATION_EXAMPLE
3.35,1.6082403639369254,DEMO,DEMONSTRATION_EXAMPLE
3.36,1.625610474861368,DEMO,DEMONSTRATION_EXAMPLE
3.37,1.6435234017521991,DEMO,DEMONSTRATION_EXAMPLE
3.38,1.6619791446094205,DEMO,DEMONSTRATION_EXAMPLE
3.39,1.6809777034330293,DEMO,DEMONSTRATION_EXAMPLE
3.4,1.700519078223027,DEMO,DEMONSTRATION_EXAMPLE
