quantity,value,unit,status,provenance
frequency,3.035,GHz,SOURCE_SPECIFICATION,SOURCE_SPECIFICATION
s11_dB,,dB,NOT_AVAILABLE,NOT_SIMULATED
vswr,,ratio,NOT_AVAILABLE,NOT_SIMULATED
gain_dB,,dB,NOT_AVAILABLE,NOT_SIMULATED
realized_gain_dB,,dB,NOT_AVAILABLE,NOT_SIMULATED
directivity_dBi,,dBi,NOT_AVAILABLE,NOT_SIMULATED
axial_ratio_dB,,dB,NOT_AVAILABLE,NOT_SIMULATED
radiation_efficiency,,ratio,NOT_AVAILABLE,NOT_SIMULATED
peak_theta_deg,,deg,NOT_AVAILABLE,NOT_SIMULATED
peak_phi_deg,,deg,NOT_AVAILABLE,NOT_SIMULATED
resonant_frequency_GHz,,GHz,NOT_AVAILABLE,NOT_SIMULATED
