frequency_GHz,s11_dB,status,provenance
2.7,-1.7052892208755364,DEMO,DEMONSTRATION_EXAMPLE
2.71,-1.8035289324278694,DEMO,DEMONSTRATION_EXAMPLE
2.72,-1.9091229664546034,DEMO,DEMONSTRATION_EXAMPLE
2.73,-2.02274632357566,DEMO,DEMONSTRATION_EXAMPLE
2.74,-2.14514618057645,DEMO,DEMONSTRATION_EXAMPLE
2.75,-2.2771506394230965,DEMO,DEMONSTRATION_EXAMPLE
2.76,-2.4196786930624024,DEMO,DEMONSTRATION_EXAMPLE
2.77,-2.5737516170667583,DEMO,DEMONSTRATION_EXAMPLE
2.78,-2.7405060451572902,DEMO,DEMONSTRATION_EXAMPLE
2.79,-2.9212090510276334,DEMO,DEMONSTRATION_EXAMPLE
2.8,-3.1172756444259915,DEMO,DEMONSTRATION_EXAMPLE
2.81,-3.3302892041231162,DEMO,DEMONSTRATION_EXAMPLE
2.82,-3.562025525344254,DEMO,DEMONSTRATION_EXAMPLE
2.83,-3.8144813700168685,DEMO,DEMONSTRATION_EXAMPLE
2.84,-4.089908696432818,DEMO,DEMONSTRATION_EXAMPLE
2.85,-4.390856140688587,DEMO,DEMONSTRATION_EXAMPLE
2.86,-4.720219866939351,DEMO,DEMONSTRATION_EXAMPLE
2.87,-5.081306653269449,DEMO,DEMONSTRATION_EXAMPLE
2.88,-5.477913108881676,DEMO,DEMONSTRATION_EXAMPLE
2.89,-5.914426317949478,DEMO,DEMONSTRATION_EXAMPLE
2.9,-6.395953072745861,DEMO,DEMONSTRATION_EXAMPLE
2.91,-6.9284872475403345,DEMO,DEMONSTRATION_EXAMPLE
2.92,-7.519127636557003,DEMO,DEMONSTRATION_EXAMPLE
2.93,-8.176360970309025,DEMO,DEMONSTRATION_EXAMPLE
2.94,-8.910424221155772,DEMO,DEMONSTRATION_EXAMPLE
2.95,-9.733748752471193,DEMO,DEMONSTRATION_EXAMPLE
2.96,-10.66144286530519,DEMO,DEMONSTRATION_EXAMPLE
2.97,-11.711619263237797,DEMO,DEMONSTRATION_EXAMPLE
2.98,-12.904910052260565,DEMO,DEMONSTRATION_EXAMPLE
2.99,-14.261093117496559,DEMO,DEMONSTRATION_EXAMPLE
3.0,-15.786483413134391,DEMO,DEMONSTRATION_EXAMPLE
3.01,-17.4341410559623,DEMO,DEMONSTRATION_EXAMPLE
3.02,-19.00103784070186,DEMO,DEMONSTRATION_EXAMPLE
3.03,-19.99193581422507,DEMO,DEMONSTRATION_EXAMPLE
3.04,-19.85508556340575,DEMO,DEMONSTRATION_EXAMPLE
3.05,-18.7009826961925,DEMO,DEMONSTRATION_EXAMPLE
3.06,-17.132655195788736,DEMO,DEMONSTRATION_EXAMPLE
3.07,-15.561466857011677,DEMO,DEMONSTRATION_EXAMPLE
3.08,-14.133085034714751,DEMO,DEMONSTRATION_EXAMPLE
3.09,-12.872951475779335,DEMO,DEMONSTRATION_EXAMPLE
3.1,-11.768514788873814,DEMO,DEMONSTRATION_EXAMPLE
3.11,-10.79882844892434,DEMO,DEMONSTRATION_EXAMPLE
3.12,-9.94358022177114,DEMO,DEMONSTRATION_EXAMPLE
3.13,-9.185323519832524,DEMO,DEMONSTRATION_EXAMPLE
3.14,-8.50962427366031,DEMO,DEMONSTRATION_EXAMPLE
3.15,-7.904651563178978,DEMO,DEMONSTRATION_EXAMPLE
3.16,-7.360690334805366,DEMO,DEMONSTRATION_EXAMPLE
3.17,-6.869711731233687,DEMO,DEMONSTRATION_EXAMPLE
3.18,-6.425026536837476,DEMO,DEMONSTRATION_EXAMPLE
3.19,-6.021014490552713,DEMO,DEMONSTRATION_EXAMPLE
3.2,-5.652914906918511,DEMO,DEMONSTRATION_EXAMPLE
3.21,-5.31666463029228,DEMO,DEMONSTRATION_EXAMPLE
3.22,-5.008771910285791,DEMO,DEMONSTRATION_EXAMPLE
3.23,-4.726217424829508,DEMO,DEMONSTRATION_EXAMPLE
3.24,-4.466375871572198,DEMO,DEMONSTRATION_EXAMPLE
3.25,-4.226953238410735,DEMO,DEMONSTRATION_EXAMPLE
3.26,-4.005936123545791,DEMO,DEMONSTRATION_EXAMPLE
3.27,-3.801550401208279,DEMO,DEMONSTRATION_EXAMPLE
3.28,-3.612227206565215,DEMO,DEMONSTRATION_EXAMPLE
3.29,-3.436574709325433,DEMO,DEMONSTRATION_EXAMPLE
3.3,-3.2733545101873367,DEMO,DEMONSTRATION_EXAMPLE
3.31,-3.1214617638643016,DEMO,DEMONSTRATION_EXAMPLE
3.32,-2.9799083331564358,DEMO,DEMONSTRATION_EXAMPLE
3.33,-2.8478084291779284,DEMO,DEMONSTRATION_EXAMPLE
3.34,-2.724366306847875,DEMO,DEMONSTRATION_EXAMPLE
3.35,-2.6088656717801832,DEMO,DEMONSTRATION_EXAMPLE
3.36,-2.5006605217411155,DEMO,DEMONSTRATION_EXAMPLE
3.37,-2.3991671979404545,DEMO,DEMONSTRATION_EXAMPLE
3.38,-2.3038574622764196,DEMO,DEMONSTRATION_EXAMPLE
3.39,-2.214252448971944,DEMO,DEMONSTRATION_EXAMPLE
3.4,-2.129917364824517,DEMO,DEMONSTRATION_EXAMPLE
