frequency_GHz,vswr,status,provenance
2.7,10.219699261909518,DEMO,DEMONSTRATION_EXAMPLE
2.71,9.666686220955391,DEMO,DEMONSTRATION_EXAMPLE
2.72,9.135953823535441,DEMO,DEMONSTRATION_EXAMPLE
2.73,8.626992328367221,DEMO,DEMONSTRATION_EXAMPLE
2.74,8.139299441665822,DEMO,DEMONSTRATION_EXAMPLE
2.75,7.672379687889054,DEMO,DEMONSTRATION_EXAMPLE
2.76,7.225743763972197,DEMO,DEMONSTRATION_EXAMPLE
2.77,6.798907877984578,DEMO,DEMONSTRATION_EXAMPLE
2.78,6.3913930744353875,DEMO,DEMONSTRATION_EXAMPLE
2.79,6.002724550202156,DEMO,DEMONSTRATION_EXAMPLE
2.8,5.632430967386243,DEMO,DEMONSTRATION_EXAMPLE
2.81,5.2800437724926015,DEMO,DEMONSTRATION_EXAMPLE
2.82,4.945096535422656,DEMO,DEMONSTRATION_EXAMPLE
2.83,4.6271243271948395,DEMO,DEMONSTRATION_EXAMPLE
2.84,4.325663162545289,DEMO,DEMONSTRATION_EXAMPLE
2.85,4.0402495433344665,DEMO,DEMONSTRATION_EXAMPLE
2.86,3.7704201521230565,DEMO,DEMONSTRATION_EXAMPLE
2.87,3.5157117642067868,DEMO,DEMONSTRATION_EXAMPLE
2.88,3.275661473877178,DEMO,DEMONSTRATION_EXAMPLE
2.89,3.0498073719783463,DEMO,DEMONSTRATION_EXAMPLE
2.9,2.837689876330343,DEMO,DEMONSTRATION_EXAMPLE
2.91,2.6388540213677363,DEMO,DEMONSTRATION_EXAMPLE
2.92,2.452853190463691,DEMO,DEMONSTRATION_EXAMPLE
2.93,2.279255085906674,DEMO,DEMONSTRATION_EXAMPLE
2.94,2.1176513014602523,DEMO,DEMONSTRATION_EXAMPLE
2.95,1.9676729481756374,DEMO,DEMONSTRATION_EXAMPLE
2.96,1.8290169394226152,DEMO,DEMONSTRATION_EXAMPLE
2.97,1.7014920000955092,DEMO,DEMONSTRATION_EXAMPLE
2.98,1.5851030420957726,DEMO,DEMONSTRATION_EXAMPLE
2.99,1.4802135633496838,DEMO,DEMONSTRATION_EXAMPLE
3.0,1.38787033960423,DEMO,DEMONSTRATION_EXAMPLE
3.01,1.3104482307278846,DEMO,DEMONSTRATION_EXAMPLE
3.02,1.2527302970983634,DEMO,DEMONSTRATION_EXAMPLE
3.03,1.2224515927628852,DEMO,DEMONSTRATION_EXAMPLE
3.04,1.2263840376304431,DEMO,DEMONSTRATION_EXAMPLE
3.05,1.2627806081652344,DEMO,DEMONSTRATION_EXAMPLE
3.06,1.3231848612704369,DEMO,DEMONSTRATION_EXAMPLE
3.07,1.4000861174013552,DEMO,DEMONSTRATION_EXAMPLE
3.08,1.4890865872142494,DEMO,DEMONSTRATION_EXAMPLE
3.09,1.5878937934126822,DEMO,DEMONSTRATION_EXAMPLE
3.1,1.695319725881812,DEMO,DEMONSTRATION_EXAMPLE
3.11,1.8107338377398452,DEMO,DEMONSTRATION_EXAMPLE
3.12,1.9337925045897602,DEMO,DEMONSTRATION_EXAMPLE
3.13,2.0643039163717303,DEMO,DEMONSTRATION_EXAMPLE
3.14,2.2021579662776527,DEMO,DEMONSTRATION_EXAMPLE
3.15,2.34728831559693,DEMO,DEMONSTRATION_EXAMPLE
3.16,2.499651112611908,DEMO,DEMONSTRATION_EXAMPLE
3.17,2.6592127332532134,DEMO,DEMONSTRATION_EXAMPLE
3.18,2.8259426179982787,DEMO,DEMONSTRATION_EXAMPLE
3.19,2.999809093778177,DEMO,DEMONSTRATION_EXAMPLE
3.2,3.18077699672594,DEMO,DEMONSTRATION_EXAMPLE
3.21,3.3688064056317475,DEMO,DEMONSTRATION_EXAMPLE
3.22,3.563852069936729,DEMO,DEMONSTRATION_EXAMPLE
3.23,3.765863273801541,DEMO,DEMONSTRATION_EXAMPLE
3.24,3.9747839717589177,DEMO,DEMONSTRATION_EXAMPLE
3.25,4.1905530892571745,DEMO,DEMONSTRATION_EXAMPLE
3.26,4.413104917971258,DEMO,DEMONSTRATION_EXAMPLE
3.27,4.642369559477132,DEMO,DEMONSTRATION_EXAMPLE
3.28,4.878273386591835,DEMO,DEMONSTRATION_EXAMPLE
3.29,5.120739502256262,DEMO,DEMONSTRATION_EXAMPLE
3.3,5.369688183045976,DEMO,DEMONSTRATION_EXAMPLE
3.31,5.625037299343379,DEMO,DEMONSTRATION_EXAMPLE
3.32,5.886702707613761,DEMO,DEMONSTRATION_EXAMPLE
3.33,6.154598612567694,DEMO,DEMONSTRATION_EXAMPLE
3.34,6.428637898586464,DEMO,DEMONSTRATION_EXAMPLE
3.35,6.708732430853471,DEMO,DEMONSTRATION_EXAMPLE
3.36,6.994793327327658,DEMO,DEMONSTRATION_EXAMPLE
3.37,7.286731203125518,DEMO,DEMONSTRATION_EXAMPLE
3.38,7.584456389119886,DEMO,DEMONSTRATION_EXAMPLE
3.39,7.887879126677709,DEMO,DEMONSTRATION_EXAMPLE
3.4,8.196909740481072,DEMO,DEMONSTRATION_EXAMPLE
